True,True,,,
0.999974,0.999954,0.999773,-1,
0.999992,0.999993,0.999941,-1,
0.999950,0.999937,0.999670,-1,
0.999995,0.999997,0.999931,-1,
0.999996,0.999990,0.999931,-1,
0.999994,0.999985,0.999940,-1,
0.999997,0.999999,0.999947,-1,
0.999975,0.999944,0.999726,-1,
0.999997,0.999998,0.999936,-1,
0.999997,0.999997,0.999938,-1,
0.999997,0.999992,0.999948,-1,
0.999996,0.999981,0.999850,-1,
0.999993,0.999985,0.999940,-1,
0.999948,0.999833,0.999591,-1,
0.999995,0.999992,0.999880,-1,
0.999985,0.999965,0.999757,-1,
0.999990,0.999983,0.999911,-1,
0.999992,0.999993,0.999949,-1,
0.999996,0.999993,0.999949,-1,
0.999992,0.999981,0.999900,-1,
0.999999,0.999997,0.999936,-1,
0.999985,0.999986,0.999873,-1,
0.999958,0.999954,0.999660,-1,
0.999981,0.999963,0.999838,-1,
0.999975,0.999945,0.999856,-1,
0.999987,0.999972,0.999882,-1,
0.999996,0.999997,0.999908,-1,
0.999992,0.999986,0.999825,-1,
0.999995,0.999988,0.999966,-1,
0.999996,0.999994,0.999941,-1,
0.999997,0.999989,0.999953,-1,
0.999995,0.999996,0.999956,-1,
0.999997,0.999996,0.999879,-1,
0.999998,0.999997,0.999924,-1,
0.999972,0.999963,0.999882,-1,
0.999997,0.999991,0.999933,-1,
0.999983,0.999974,0.999861,-1,
0.999987,0.999982,0.999854,-1,
0.999980,0.999964,0.999855,-1,
0.999996,0.999990,0.999969,-1,
0.999970,0.999939,0.999860,-1,
0.999980,0.999971,0.999898,-1,
0.999996,0.999984,0.999914,-1,
0.999996,0.999996,0.999940,-1,
0.999989,0.999986,0.999972,-1,
0.999972,0.999949,0.999801,-1,
0.999993,0.999990,0.999921,-1,
0.999996,0.999997,0.999879,-1,
0.999995,0.999994,0.999879,-1,
0.999981,0.999972,0.999893,-1,
0.999996,0.999982,0.999874,-1,
0.999984,0.999959,0.999864,-1,
1.000000,0.999998,0.999928,-1,
0.999982,0.999972,0.999841,-1,
0.999993,0.999984,0.999954,-1,
0.999994,0.999986,0.999873,-1,
0.999997,0.999998,0.999925,-1,
0.999972,0.999965,0.999780,-1,
0.999998,0.999994,0.999922,-1,
0.999987,0.999976,0.999897,-1,
0.999998,0.999997,0.999955,-1,
0.999989,0.999985,0.999924,-1,
0.999998,0.999997,0.999916,-1,
0.999983,0.999973,0.999817,-1,
0.999992,0.999988,0.999927,-1,
0.999963,0.999897,0.999503,-1,
0.999973,0.999960,0.999823,-1,
0.999996,0.999994,0.999952,-1,
0.999998,0.999998,0.999932,-1,
0.999999,0.999995,0.999948,-1,
0.999991,0.999976,0.999869,-1,
0.999992,0.999989,0.999843,-1,
0.999998,0.999994,0.999935,-1,
0.999986,0.999972,0.999895,-1,
0.999993,0.999982,0.999951,-1,
0.999993,0.999983,0.999927,-1,
0.999983,0.999979,0.999929,-1,
0.999988,0.999979,0.999947,-1,
0.999961,0.999948,0.999737,-1,
0.999988,0.999996,0.999909,-1,
0.999984,0.999982,0.999933,-1,
0.999996,0.999996,0.999954,-1,
0.999972,0.999967,0.999814,-1,
0.999993,0.999993,0.999910,-1,
0.999999,0.999993,0.999964,-1,
0.999994,0.999985,0.999940,-1,
0.999988,0.999988,0.999894,-1,
0.999998,0.999997,0.999968,-1,
0.999991,0.999976,0.999832,-1,
0.999981,0.999962,0.999699,-1,
0.999969,0.999973,0.999807,-1,
0.999974,0.999949,0.999783,-1,
0.999996,0.999995,0.999943,-1,
0.999994,0.999983,0.999927,-1,
0.999998,0.999997,0.999944,-1,
0.999982,0.999973,0.999815,-1,
0.999996,0.999996,0.999978,-1,
0.999970,0.999940,0.999860,-1,
0.999978,0.999971,0.999779,-1,
0.999989,0.999995,0.999884,-1,
0.999999,0.999994,0.999964,-1,
0.999991,0.999987,0.999900,-1,
0.999991,0.999979,0.999885,-1,
0.999994,0.999996,0.999918,-1,
0.999997,0.999997,0.999913,-1,
0.999980,0.999964,0.999843,-1,
0.999992,0.999992,0.999843,-1,
0.999999,0.999995,0.999928,-1,
0.999996,0.999998,0.999950,-1,
0.999996,0.999997,0.999964,-1,
0.999997,0.999998,0.999959,-1,
0.999982,0.999972,0.999857,-1,
0.999992,0.999985,0.999958,-1,
0.999993,0.999992,0.999923,-1,
0.999990,0.999993,0.999923,-1,
0.999995,0.999994,0.999917,-1,
0.999985,0.999986,0.999888,-1,
0.999998,0.999996,0.999970,-1,
0.999965,0.999935,0.999607,-1,
0.999989,0.999978,0.999824,-1,
0.999999,0.999996,0.999952,-1,
0.999997,0.999995,0.999946,-1,
0.999986,0.999980,0.999846,-1,
0.999968,0.999951,0.999741,-1,
0.999989,0.999988,0.999930,-1,
0.999989,0.999977,0.999880,-1,
0.999999,0.999991,0.999971,-1,
0.999996,0.999988,0.999971,-1,
0.999981,0.999985,0.999980,-1,
0.999989,0.999989,0.999934,-1,
0.999985,0.999980,0.999879,-1,
0.999976,0.999953,0.999867,-1,
0.999995,0.999992,0.999941,-1,
0.999980,0.999970,0.999830,-1,
0.999999,0.999993,0.999972,-1,
0.999997,0.999973,0.999960,-1,
0.999999,0.999997,0.999931,-1,
0.999992,0.999994,0.999888,-1,
0.999989,0.999982,0.999899,-1,
0.999973,0.999975,0.999680,-1,
0.999994,0.999996,0.999957,-1,
0.999992,0.999973,0.999781,-1,
0.999981,0.999975,0.999815,-1,
0.999974,0.999950,0.999825,-1,
0.999998,0.999995,0.999946,-1,
0.999973,0.999941,0.999586,-1,
0.999989,0.999986,0.999958,-1,
0.999990,0.999980,0.999871,-1,
0.999994,0.999986,0.999861,-1,
0.999992,0.999989,0.999949,-1,
0.999998,0.999993,0.999957,-1,
0.999987,0.999969,0.999939,-1,
0.999998,0.999991,0.999971,-1,
0.999989,0.999985,0.999879,-1,
0.999986,0.999965,0.999793,-1,
0.999960,0.999969,0.999849,-1,
0.999998,0.999997,0.999948,-1,
0.999985,0.999974,0.999880,-1,
0.999985,0.999969,0.999836,-1,
0.999991,0.999994,0.999931,-1,
0.999957,0.999882,0.999797,-1,
0.999974,0.999936,0.999644,-1,
0.999989,0.999981,0.999825,-1,
0.999998,0.999998,0.999935,-1,
0.999999,0.999994,0.999939,-1,
0.999987,0.999980,0.999638,-1,
0.999996,0.999993,0.999861,-1,
0.999996,0.999997,0.999879,-1,
0.999976,0.999942,0.999685,-1,
0.999996,0.999998,0.999933,-1,
0.999988,0.999984,0.999949,-1,
0.999990,0.999994,0.999942,-1,
0.999984,0.999979,0.999954,-1,
0.999996,0.999996,0.999941,-1,
0.999996,0.999996,0.999941,-1,
0.999996,0.999991,0.999961,-1,
0.999998,0.999995,0.999923,-1,
0.999996,0.999994,0.999935,-1,
0.999989,0.999992,0.999861,-1,
0.999981,0.999983,0.999836,-1,
0.999994,0.999990,0.999834,-1,
0.999972,0.999940,0.999858,-1,
0.999986,0.999980,0.999875,-1,
0.999983,0.999970,0.999898,-1,
0.999991,0.999986,0.999957,-1,
0.999982,0.999969,0.999808,-1,
0.999989,0.999981,0.999844,-1,
0.999971,0.999954,0.999755,-1,
0.999988,0.999985,0.999917,-1,
0.999988,0.999973,0.999823,-1,
0.999961,0.999941,0.999735,-1,
0.999996,0.999992,0.999945,-1,
0.999992,0.999997,0.999922,-1,
0.999991,0.999983,0.999875,-1,
0.999994,0.999989,0.999917,-1,
0.999983,0.999982,0.999915,-1,
0.999962,0.999905,0.999573,-1,
0.999990,0.999983,0.999838,-1,
0.999994,0.999996,0.999938,-1,
0.999991,0.999977,0.999808,-1,
0.999987,0.999971,0.999859,-1,
0.999998,0.999995,0.999963,-1,
0.999975,0.999936,0.999763,-1,
0.999984,0.999979,0.999798,-1,
0.999984,0.999966,0.999885,-1,
0.999978,0.999959,0.999764,-1,
0.999997,0.999990,0.999927,-1,
0.999995,0.999999,0.999912,-1,
0.999975,0.999954,0.999657,-1,
0.999980,0.999978,0.999880,-1,
0.999997,0.999988,0.999969,-1,
0.999997,0.999998,0.999907,-1,
0.999978,0.999897,0.999031,-1,
0.999990,0.999987,0.999906,-1,
0.999993,0.999978,0.999965,-1,
0.999999,0.999992,0.999977,-1,
0.999992,0.999968,0.999916,-1,
0.999998,0.999996,0.999921,-1,
0.999995,0.999990,0.999893,-1,
0.999985,0.999971,0.999813,-1,
0.999996,0.999989,0.999917,-1,
0.999972,0.999960,0.999835,-1,
0.999995,0.999991,0.999909,-1,
0.999979,0.999960,0.999861,-1,
0.999998,0.999999,0.999935,-1,
0.999980,0.999959,0.999659,-1,
0.999999,0.999995,0.999962,-1,
0.999973,0.999951,0.999800,-1,
0.999997,0.999991,0.999983,-1,
0.999998,0.999997,0.999903,-1,
0.999996,0.999998,0.999926,-1,
0.999996,0.999993,0.999951,-1,
0.999995,0.999992,0.999929,-1,
0.999992,0.999997,0.999901,-1,
0.999997,0.999997,0.999890,-1,
0.999991,0.999988,0.999890,-1,
0.999995,0.999991,0.999962,-1,
0.999993,0.999988,0.999914,-1,
0.999964,0.999910,0.999871,-1,
0.999996,0.999991,0.999925,-1,
0.999984,0.999982,0.999902,-1,
0.999996,0.999986,0.999886,-1,
0.999997,0.999996,0.999887,-1,
0.999986,0.999976,0.999859,-1,
0.999971,0.999923,0.999722,-1,
0.999979,0.999950,0.999737,-1,
0.999996,0.999986,0.999955,-1,
0.999961,0.999877,0.999654,-1,
0.999990,0.999976,0.999881,-1,
0.999997,0.999995,0.999952,-1,
0.999998,0.999992,0.999925,-1,
0.999980,0.999964,0.999783,-1,
0.999972,0.999948,0.999720,-1,
0.999992,0.999991,0.999892,-1,
0.999995,0.999987,0.999856,-1,
0.999997,0.999996,0.999953,-1,
0.999973,0.999929,0.999720,-1,
0.999996,0.999990,0.999940,-1,
0.999984,0.999937,0.999587,-1,
0.999993,0.999984,0.999947,-1,
0.999999,0.999998,0.999944,-1,
0.999983,0.999988,0.999888,-1,
0.999976,0.999966,0.999802,-1,
0.999999,0.999998,0.999941,-1,
0.999998,0.999993,0.999967,-1,
0.999998,0.999996,0.999939,-1,
0.999994,0.999992,0.999927,-1,
0.999969,0.999926,0.999792,-1,
0.999996,0.999987,0.999967,-1,
0.999995,0.999995,0.999943,-1,
0.999992,0.999981,0.999885,-1,
0.999994,0.999996,0.999977,-1,
0.999998,0.999993,0.999941,-1,
0.999999,0.999996,0.999948,-1,
0.999996,0.999998,0.999947,-1,
0.999994,0.999986,0.999957,-1,
0.999974,0.999946,0.999722,-1,
0.999968,0.999955,0.999754,-1,
0.999998,0.999984,0.999948,-1,
0.999991,0.999985,0.999828,-1,
0.999996,0.999992,0.999934,-1,
0.999955,0.999925,0.999656,-1,
0.999998,0.999993,0.999956,-1,
0.999997,0.999998,0.999946,-1,
0.999999,0.999998,0.999947,-1,
0.999980,0.999955,0.999665,-1,
0.999968,0.999947,0.999696,-1,
0.999995,0.999982,0.999912,-1,
0.999985,0.999983,0.999958,-1,
0.999984,0.999972,0.999894,-1,
0.999992,0.999987,0.999927,-1,
0.999999,0.999998,0.999929,-1,
0.999997,0.999997,0.999916,-1,
0.999988,0.999983,0.999826,-1,
0.999992,0.999979,0.999875,-1,
0.999997,0.999996,0.999941,-1,
0.999988,0.999995,0.999925,-1,
0.999980,0.999971,0.999882,-1,
0.999997,0.999997,0.999926,-1,
0.999991,0.999982,0.999917,-1,
0.999992,0.999991,0.999923,-1,
0.999976,0.999947,0.999798,-1,
0.999998,0.999998,0.999960,-1,
0.999998,0.999993,0.999951,-1,
0.999977,0.999961,0.999820,-1,
0.999997,0.999997,0.999948,-1,
0.999991,0.999983,0.999832,-1,
0.999997,0.999997,0.999918,-1,
0.999962,0.999943,0.999725,-1,
0.999996,0.999989,0.999881,-1,
0.999996,0.999997,0.999957,-1,
0.999993,0.999991,0.999903,-1,
0.999999,0.999997,0.999954,-1,
0.999997,0.999998,0.999942,-1,
0.999992,0.999993,0.999904,-1,
0.999997,0.999990,0.999958,-1,
0.999963,0.999957,0.999645,-1,
0.999960,0.999952,0.999803,-1,
0.999968,0.999935,0.999616,-1,
0.999996,0.999992,0.999913,-1,
0.999941,0.999810,0.999637,-1,
0.999986,0.999979,0.999910,-1,
0.999996,0.999995,0.999930,-1,
0.999998,0.999993,0.999909,-1,
0.999988,0.999983,0.999921,-1,
0.999995,0.999983,0.999842,-1,
0.999999,0.999993,0.999968,-1,
0.999969,0.999951,0.999702,-1,
0.999995,0.999994,0.999937,-1,
0.999996,0.999995,0.999928,-1,
0.999999,0.999991,0.999964,-1,
0.999998,0.999994,0.999926,-1,
0.999976,0.999903,0.999694,-1,
0.999992,0.999982,0.999866,-1,
0.999992,0.999974,0.999930,-1,
0.999984,0.999971,0.999861,-1,
0.999996,0.999993,0.999939,-1,
0.999977,0.999956,0.999882,-1,
0.999998,0.999994,0.999938,-1,
0.999971,0.999930,0.999465,-1,
0.999988,0.999980,0.999919,-1,
0.999998,0.999988,0.999943,-1,
0.999992,0.999971,0.999878,-1,
0.999985,0.999977,0.999920,-1,
0.999994,0.999992,0.999878,-1,
0.999989,0.999981,0.999916,-1,
0.999978,0.999962,0.999814,-1,
0.999988,0.999982,0.999888,-1,
0.999997,0.999999,0.999940,-1,
0.999987,0.999978,0.999903,-1,
0.999984,0.999948,0.999597,-1,
0.999984,0.999969,0.999775,-1,
0.999985,0.999965,0.999804,-1,
0.999994,0.999983,0.999898,-1,
0.999999,0.999996,0.999966,-1,
0.999977,0.999984,0.999966,-1,
0.999965,0.999935,0.999889,-1,
0.999962,0.999964,0.999638,-1,
0.999961,0.999900,0.999770,-1,
0.999997,0.999993,0.999929,-1,
0.999996,0.999995,0.999899,-1,
0.999995,0.999988,0.999896,-1,
0.999987,0.999970,0.999920,-1,
0.999989,0.999994,0.999939,-1,
0.999995,0.999991,0.999921,-1,
0.999985,0.999975,0.999875,-1,
0.999994,0.999989,0.999837,-1,
0.999980,0.999966,0.999879,-1,
0.999996,0.999989,0.999934,-1,
0.999997,0.999998,0.999930,-1,
0.999998,0.999997,0.999953,-1,
0.999994,0.999987,0.999900,-1,
0.999993,0.999996,0.999950,-1,
0.999993,0.999992,0.999971,-1,
0.999996,0.999991,0.999986,-1,
0.999974,0.999949,0.999782,-1,
0.999963,0.999953,0.999572,-1,
0.999980,0.999972,0.999845,-1,
0.999988,0.999983,0.999907,-1,
0.999995,0.999990,0.999930,-1,
0.999997,0.999996,0.999909,-1,
0.999996,0.999990,0.999937,-1,
0.999997,0.999992,0.999940,-1,
0.999981,0.999962,0.999740,-1,
0.999997,0.999995,0.999923,-1,
0.999979,0.999946,0.999874,-1,
0.999997,0.999993,0.999920,-1,
0.999996,0.999996,0.999943,-1,
0.999984,0.999968,0.999794,-1,
0.999992,0.999995,0.999941,-1,
0.999979,0.999953,0.999848,-1,
0.999990,0.999991,0.999881,-1,
0.999996,0.999992,0.999948,-1,
0.999976,0.999931,0.999737,-1,
0.999985,0.999980,0.999660,-1,
0.999989,0.999974,0.999817,-1,
0.999979,0.999973,0.999862,-1,
0.999963,0.999949,0.999724,-1,
0.999973,0.999938,0.999748,-1,
0.999990,0.999987,0.999867,-1,
0.999988,0.999984,0.999759,-1,
0.999999,0.999996,0.999950,-1,
0.999997,0.999998,0.999960,-1,
0.999979,0.999967,0.999874,-1,
0.999987,0.999989,0.999849,-1,
0.999994,0.999990,0.999934,-1,
0.999978,0.999963,0.999805,-1,
0.999999,0.999998,0.999943,-1,
0.999991,0.999983,0.999869,-1,
0.999999,0.999997,0.999958,-1,
0.999976,0.999959,0.999771,-1,
0.999974,0.999914,0.999361,-1,
0.999983,0.999964,0.999818,-1,
0.999995,0.999998,0.999948,-1,
0.999998,0.999996,0.999899,-1,
0.999996,0.999997,0.999954,-1,
0.999973,0.999956,0.999782,-1,
0.999992,0.999993,0.999887,-1,
0.999997,0.999997,0.999946,-1,
0.999998,0.999986,0.999939,-1,
0.999987,0.999973,0.999875,-1,
0.999996,0.999994,0.999897,-1,
0.999999,0.999996,0.999925,-1,
0.999985,0.999976,0.999854,-1,
0.999993,0.999990,0.999860,-1,
0.999997,0.999998,0.999930,-1,
0.999997,0.999985,0.999984,-1,
0.999991,0.999988,0.999885,-1,
0.999993,0.999992,0.999851,-1,
0.999997,0.999986,0.999913,-1,
0.999988,0.999990,0.999914,-1,
0.999975,0.999930,0.999846,-1,
0.999994,0.999993,0.999954,-1,
0.999970,0.999940,0.999816,-1,
0.999997,0.999988,0.999953,-1,
0.999992,0.999968,0.999882,-1,
0.999998,0.999991,0.999932,-1,
0.999987,0.999978,0.999704,-1,
0.999999,0.999997,0.999964,-1,
0.999994,0.999996,0.999863,-1,
0.999998,0.999990,0.999948,-1,
0.999982,0.999972,0.999914,-1,
0.999994,0.999984,0.999890,-1,
0.999989,0.999976,0.999700,-1,
0.999997,0.999998,0.999963,-1,
0.999997,0.999994,0.999982,-1,
0.999995,0.999995,0.999846,-1,
0.999967,0.999941,0.999754,-1,
0.999987,0.999971,0.999838,-1,
0.999983,0.999990,0.999901,-1,
0.999988,0.999979,0.999795,-1,
0.999956,0.999886,0.999837,-1,
0.999998,0.999995,0.999960,-1,
0.999993,0.999996,0.999925,-1,
0.999991,0.999975,0.999956,-1,
0.999995,0.999989,0.999941,-1,
0.999984,0.999975,0.999768,-1,
0.999983,0.999979,0.999926,-1,
0.999997,0.999989,0.999934,-1,
0.999995,0.999986,0.999910,-1,
0.999979,0.999965,0.999797,-1,
0.999983,0.999967,0.999908,-1,
0.999995,0.999987,0.999911,-1,
0.999988,0.999973,0.999822,-1,
0.999997,0.999996,0.999903,-1,
0.999988,0.999982,0.999920,-1,
0.999977,0.999971,0.999868,-1,
0.999995,0.999994,0.999927,-1,
0.999994,0.999994,0.999951,-1,
0.999984,0.999985,0.999930,-1,
0.999998,0.999989,0.999982,-1,
0.999991,0.999986,0.999935,-1,
0.999975,0.999960,0.999775,-1,
0.999959,0.999937,0.999713,-1,
0.999999,0.999998,0.999965,-1,
0.999984,0.999959,0.999651,-1,
0.999994,0.999991,0.999892,-1,
0.999989,0.999983,0.999858,-1,
0.999980,0.999961,0.999805,-1,
0.999996,0.999987,0.999963,-1,
0.999986,0.999982,0.999936,-1,
0.999988,0.999973,0.999908,-1,
0.999987,0.999985,0.999929,-1,
0.999997,0.999997,0.999882,-1,
0.999943,0.999864,0.999029,-1,
0.999998,0.999997,0.999984,-1,
0.999989,0.999976,0.999952,-1,
0.999964,0.999924,0.999529,-1,
0.999967,0.999951,0.999735,-1,
0.999988,0.999980,0.999949,-1,
0.999995,0.999995,0.999933,-1,
0.999999,0.999994,0.999965,-1,
0.999993,0.999994,0.999873,-1,
0.999997,0.999997,0.999929,-1,
0.999963,0.999944,0.999777,-1,
0.999996,0.999992,0.999951,-1,
0.999992,0.999994,0.999883,-1,
0.999999,0.999999,0.999957,-1,
0.999999,0.999997,0.999951,-1,
0.999980,0.999968,0.999894,-1,
0.999997,0.999997,0.999934,-1,
0.999987,0.999994,0.999940,-1,
0.999998,0.999996,0.999937,-1,
0.999997,0.999995,0.999956,-1,
0.999995,0.999988,0.999939,-1,
0.999954,0.999870,0.999761,-1,
0.999997,0.999996,0.999923,-1,
0.999992,0.999981,0.999943,-1,
0.999994,0.999994,0.999845,-1,
0.999998,0.999999,0.999944,-1,
0.999998,0.999994,0.999907,-1,
0.999994,0.999988,0.999847,-1,
0.999997,0.999995,0.999907,-1,
0.999991,0.999983,0.999749,-1,
0.999995,0.999990,0.999952,-1,
0.999979,0.999979,0.999934,-1,
0.999993,0.999996,0.999954,-1,
0.999990,0.999978,0.999917,-1,
0.999949,0.999932,0.999523,-1,
0.999977,0.999957,0.999792,-1,
0.999990,0.999986,0.999849,-1,
0.999999,0.999998,0.999958,-1,
0.999994,0.999997,0.999947,-1,
0.999995,0.999997,0.999949,-1,
0.999966,0.999956,0.999687,-1,
0.999998,0.999990,0.999968,-1,
0.999993,0.999977,0.999833,-1,
0.999988,0.999978,0.999888,-1,
0.999996,0.999998,0.999968,-1,
0.999994,0.999988,0.999943,-1,
0.999998,0.999995,0.999954,-1,
0.999978,0.999956,0.999794,-1,
0.999999,0.999996,0.999965,-1,
0.999993,0.999993,0.999938,-1,
0.999995,0.999994,0.999956,-1,
0.999994,0.999996,0.999923,-1,
0.999997,0.999994,0.999910,-1,
0.999994,0.999988,0.999900,-1,
0.999974,0.999963,0.999794,-1,
0.999984,0.999966,0.999817,-1,
0.999976,0.999962,0.999859,-1,
0.999965,0.999977,0.999774,-1,
0.999984,0.999968,0.999730,-1,
0.999940,0.999724,0.999474,-1,
0.999998,0.999996,0.999928,-1,
0.999984,0.999973,0.999877,-1,
0.999997,0.999996,0.999948,-1,
0.999996,0.999993,0.999960,-1,
0.999996,0.999998,0.999931,-1,
0.999998,0.999996,0.999929,-1,
0.999979,0.999940,0.999843,-1,
0.999992,0.999981,0.999892,-1,
0.999984,0.999972,0.999867,-1,
0.999998,0.999994,0.999975,-1,
0.999993,0.999989,0.999883,-1,
0.999985,0.999968,0.999766,-1,
0.999998,0.999997,0.999975,-1,
0.999999,0.999997,0.999922,-1,
0.999995,0.999991,0.999860,-1,
0.999990,0.999983,0.999917,-1,
0.999999,0.999996,0.999959,-1,
0.999996,0.999997,0.999938,-1,
0.999994,0.999988,0.999856,-1,
0.999995,0.999990,0.999869,-1,
0.999966,0.999947,0.999317,-1,
0.999982,0.999963,0.999891,-1,
0.999982,0.999974,0.999884,-1,
0.999992,0.999994,0.999914,-1,
0.999987,0.999971,0.999752,-1,
0.999995,0.999988,0.999962,-1,
0.999997,0.999993,0.999978,-1,
0.999995,0.999988,0.999959,-1,
0.999988,0.999987,0.999915,-1,
0.999995,0.999985,0.999937,-1,
0.999995,0.999990,0.999901,-1,
0.999986,0.999979,0.999949,-1,
0.999996,0.999989,0.999955,-1,
0.999989,0.999983,0.999876,-1,
0.999984,0.999970,0.999816,-1,
0.999994,0.999988,0.999913,-1,
0.999995,0.999991,0.999910,-1,
0.999998,0.999998,0.999941,-1,
0.999998,0.999995,0.999905,-1,
0.999988,0.999976,0.999890,-1,
0.999997,0.999986,0.999927,-1,
0.999995,0.999997,0.999903,-1,
0.999994,0.999984,0.999932,-1,
0.999984,0.999962,0.999829,-1,
0.999998,0.999998,0.999957,-1,
0.999993,0.999995,0.999867,-1,
0.999998,0.999998,0.999961,-1,
0.999993,0.999990,0.999952,-1,
0.999994,0.999996,0.999882,-1,
0.999997,0.999996,0.999917,-1,
0.999990,0.999987,0.999908,-1,
0.999985,0.999987,0.999850,-1,
0.999998,0.999992,0.999951,-1,
0.999986,0.999984,0.999835,-1,
0.999992,0.999988,0.999904,-1,
0.999996,0.999989,0.999933,-1,
0.999963,0.999956,0.999795,-1,
0.999996,0.999990,0.999964,-1,
0.999981,0.999972,0.999892,-1,
0.999995,0.999989,0.999956,-1,
0.999995,0.999996,0.999935,-1,
0.999988,0.999987,0.999952,-1,
0.999989,0.999986,0.999923,-1,
0.999976,0.999974,0.999866,-1,
0.999989,0.999984,0.999911,-1,
0.999994,0.999985,0.999950,-1,
0.999971,0.999941,0.999789,-1,
0.999999,0.999987,0.999874,-1,
0.999993,0.999997,0.999923,-1,
0.999966,0.999960,0.999813,-1,
0.999995,0.999987,0.999927,-1,
0.999996,0.999989,0.999926,-1,
0.999998,0.999991,0.999972,-1,
0.999980,0.999960,0.999759,-1,
0.999997,0.999993,0.999951,-1,
0.999990,0.999978,0.999873,-1,
0.999999,0.999993,0.999945,-1,
0.999998,0.999997,0.999954,-1,
0.999980,0.999983,0.999935,-1,
0.999967,0.999958,0.999835,-1,
0.999998,0.999993,0.999915,-1,
0.999975,0.999970,0.999831,-1,
0.999966,0.999919,0.999772,-1,
0.999997,0.999992,0.999927,-1,
0.999990,0.999970,0.999893,-1,
0.999973,0.999969,0.999853,-1,
0.999990,0.999982,0.999866,-1,
0.999995,0.999992,0.999936,-1,
0.999965,0.999907,0.999769,-1,
0.999999,0.999996,0.999968,-1,
0.999995,0.999990,0.999946,-1,
0.999982,0.999980,0.999898,-1,
0.999999,0.999998,0.999952,-1,
0.999985,0.999981,0.999953,-1,
0.999998,0.999995,0.999966,-1,
0.999988,0.999988,0.999891,-1,
0.999998,0.999994,0.999949,-1,
0.999995,0.999996,0.999964,-1,
0.999993,0.999990,0.999914,-1,
0.999994,0.999988,0.999902,-1,
0.999986,0.999987,0.999914,-1,
0.999995,0.999997,0.999938,-1,
0.999992,0.999983,0.999959,-1,
0.999995,0.999989,0.999924,-1,
0.999968,0.999976,0.999830,-1,
0.999985,0.999983,0.999930,-1,
0.999998,0.999993,0.999960,-1,
0.999998,0.999998,0.999940,-1,
0.999998,0.999995,0.999929,-1,
0.999992,0.999989,0.999969,-1,
0.999994,0.999993,0.999811,-1,
0.999996,0.999992,0.999879,-1,
0.999978,0.999971,0.999832,-1,
0.999992,0.999983,0.999826,-1,
0.999994,0.999985,0.999882,-1,
0.999980,0.999959,0.999872,-1,
0.999998,0.999997,0.999925,-1,
0.999989,0.999978,0.999913,-1,
0.999977,0.999962,0.999759,-1,
0.999983,0.999976,0.999900,-1,
0.999994,0.999989,0.999895,-1,
0.999992,0.999983,0.999914,-1,
0.999963,0.999932,0.999704,-1,
0.999985,0.999983,0.999911,-1,
0.999993,0.999978,0.999892,-1,
0.999998,0.999994,0.999945,-1,
0.999998,0.999994,0.999939,-1,
0.999998,0.999991,0.999961,-1,
0.999995,0.999987,0.999795,-1,
0.999996,0.999989,0.999907,-1,
0.999998,0.999992,0.999948,-1,
0.999998,0.999992,0.999951,-1,
0.999997,0.999987,0.999969,-1,
0.999998,0.999995,0.999925,-1,
0.999990,0.999979,0.999882,-1,
0.999999,0.999996,0.999951,-1,
0.999991,0.999992,0.999947,-1,
0.999996,0.999993,0.999928,-1,
0.999995,0.999997,0.999918,-1,
0.999996,0.999990,0.999874,-1,
0.999996,0.999994,0.999855,-1,
0.999993,0.999991,0.999952,-1,
0.999990,0.999983,0.999951,-1,
0.999991,0.999980,0.999920,-1,
0.999995,0.999987,0.999947,-1,
0.999999,0.999995,0.999952,-1,
0.999994,0.999987,0.999936,-1,
0.999994,0.999986,0.999920,-1,
0.999996,0.999996,0.999896,-1,
0.999996,0.999988,0.999887,-1,
0.999990,0.999990,0.999897,-1,
0.999974,0.999960,0.999784,-1,
0.999981,0.999955,0.999633,-1,
0.999997,0.999995,0.999922,-1,
0.999965,0.999935,0.999539,-1,
0.999999,0.999996,0.999950,-1,
0.999975,0.999965,0.999701,-1,
0.999998,0.999995,0.999955,-1,
0.999991,0.999978,0.999868,-1,
0.999983,0.999972,0.999882,-1,
0.999998,0.999996,0.999946,-1,
0.999995,0.999988,0.999925,-1,
0.999990,0.999989,0.999849,-1,
0.999997,0.999995,0.999956,-1,
0.999994,0.999996,0.999965,-1,
0.999996,0.999991,0.999946,-1,
0.999999,0.999996,0.999950,-1,
0.999932,0.999785,0.999722,-1,
0.999979,0.999930,0.999549,-1,
0.999998,0.999997,0.999932,-1,
0.999992,0.999995,0.999877,-1,
0.999999,0.999994,0.999959,-1,
